Clue #,Clue,Answer,Address,Validate Address,Confidence,Point Value,Mini Hunt,Notes,Badge
42,Natl Fitness,National Fitness Campaign,"1400 Jefferson St, San Francisco, CA 94123",Click Me,High,15,FALSE,,
43,Eden,White Crane Springs,"1620 7th Ave, San Francisco, CA 94122",Click Me,High,10,FALSE,sing a song,
44,Building with urine,Columbus Tower,"900 Kearny St, San Francisco, CA 94133",Click Me,High,5,FALSE,,
45,Solved,,,Click Me,High,,FALSE,,
46,Not even,Odd Fellows Temple,"90 7th St, San Francisco, CA 94103",Click Me,High,5,FALSE,,
47,A True Emerald,Esmerelda State Park,"Winfield St & Esmeralda Ave, San Francisco, CA 94110",Click Me,High,10,FALSE,,D40
48,Cemetary Buddy,Korean War Memorial,"Korean War Memorial, Lincoln Blvd, San Francisco, CA 94129",Click Me,High,5,FALSE,,U30
49,Bar Code,Finnegan's Wake,"937 Cole St, San Francisco, CA 94117",Click Me,High,5,TRUE,,
50,run brain,A runner's mind,"3575 Sacramento St, San Francisco, CA 94118",Click Me,High,10,FALSE,,SP55
51,Balancing Act,Circus Center,"755 Frederick St, San Francisco, CA 94117",Click Me,High,5,FALSE,,
52,Carl Lewis,Carl & Willard,"301 Carl St, San Francisco, CA 94117",Click Me,Medium,10,FALSE,,D40
53,Enlightening,Diamond Heights,"199 Museum Way, San Francisco, CA 94114",Click Me,Low,5,FALSE,,
54,Act Math,19th & Lawton,"19th & Lawton, san francisco, ca",Click Me,Medium,20,FALSE,"x=17, y=-1",
55,Dust in the Wind,San Francisco National Cemetery,"1 Lincoln Blvd, San Francisco, CA 94129",Click Me,Medium,15,FALSE,,SAT55
56,Gazing Out,Robin Williams,"1051 Market St, San Francisco, CA 94103",Click Me,High,5,FALSE,,A25
57,Original Mobius Bread,Tartine Bakery,"600 Guerrero St, San Francisco, CA 94110",Click Me,Medium,10,FALSE,,S45
58,Spock On,Vulcan Stairs,"Vulcan Stairs, San Francisco, CA 94114",Click Me,High,5,FALSE,,
59,Perspective,Part of Us / Crooked Street,"1099 Lombard St, San Francisco, CA 94109",Click Me,Medium,10,FALSE,,
60,Worth of a gold,,"Spire, Arguello Blvd, San Francisco, CA 94129",Click Me,High,10,FALSE,,S45
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,21,,,,,,,
,,34,,,,,,,
,,55,,,,,,,
,,89,,,,,,,
,,144,,,,,,,
